Ágyll	/places/422859/name.2013-06-07.6605960508
Labeci	/places/39365/labecia
Arsen L.	/places/874358/Arsene-L
Catill M.	/places/438711/Catillus-M
Viromand	/places/109436/viromandis
Fregellan	/places/432847/fregellanum
Brong	/places/207268/brongos
Kariath	/places/699899/kariatha
Perigueux	/places/138513/perigueux
Hammath	/places/678172/hammath
S(...)	/places/207404/s
Kalamin	/places/727135/kalamine
Lakanit	/places/648687/lakanitis
Lorym	/places/599774/loryma
Leman	/places/79557/lemana
Sarni	/places/29746/sarnios	/places/942246/sarnios
Heldu	/places/678177/heldua
Lemav	/places/236514/lemavi
Fortunat Insul	/places/149334673/fortunatae-insulae
Kalamis	/places/543741/kalamisos
Warthan	/places/884224/warthan
Xanthio	/places/954329/xanthioi
For Popil	/places/442586/forum-popili
Symeon, Mon.	/places/658607/Symeon-Mon	/places/658606/Symeon-Mon
Clarenn	/places/118632/clarenna
Lanit Pag	/places/438764/lanita-pagus
Kleiner Zāb	/places/894184/kleiner-zab
Col. Firm Iuli Arausi Secundanor	/places/148054/col-firma-iulia-arausio-secundanorum
Homaden	/places/609408/homadena
Barbarik Pelag	/places/39308/barbarikon-pelagos
Prians	/places/590013/priansos
Eutres	/places/573226/eutresis	/places/540787/eutresis
Scopul	/places/226755/scopuli
Cha M.	/places/570171/Chaon-M
Xarxiar	/places/60713/xarxiare
Arderikk	/places/897717/arderikka	/places/915830/arderikka
Sandabal	/places/59664/sandabal
Noig Oukesi	/places/240968/noiga-oukesia
Coloph ad Mar	/places/599578/colophon-ad-mare
Naumach	/places/594986/naumachos
Vescer	/places/334663/vescera
S. Martin	/places/433092/s-martinus
Selymbri	/places/511414/selymbria
Iberni	/places/83846/ibernio
Phoinix	/places/589993/phoinix	/places/589994/phoinix	/places/639056/phoinix	/places/570606/phoinix	/places/599883/phoinix	/places/462427/phoinix	/places/541049/phoinix
Tadmir	/places/668331/tadmir
Transmarisc	/places/217021/transmarisca
Phoinik	/places/716621/phoinikon	/places/639053/phoinike	/places/746794/phoinikon	/places/1001937/phoinike	/places/798090/phoinikon	/places/786091/phoinikon
Syrakousa	/places/462503/syrakousai
Lersens R Public	/places/270335/lersensis-res-publicae
Pindas M.	/places/550830/Pindasos-M
Chouman	/places/915846/choumana
Magabul	/places/857220/magabula
Serbonit L.	/places/688025/Serbonitis-L
Murs	/places/197389/mursa
Modub	/places/50140/modubae
Col. Genetiv Iuli	/places/256503/col-genetiva-iulia
Pol Kastell	/places/222148/polis-kastellon
Perdikia	/places/638767/perdikiai
Tricomi	/places/678436/tricomia
Teuthron	/places/570714/teuthrone
Rapid	/places/295329/rapidum
Eryk	/places/465893/erykes	/places/465892/eryke
Ġaznī	/places/59694/gazni-1
Saphare	/places/688022/sapharea
Eryx	/places/462201/eryx	/places/409967/eryx
Glykys	/places/530879/glykys
Keissi	/places/619184/keissia
Baghdad	/places/893952/baghdad
Amitern	/places/413013/amiternum
Arīḥā	/places/687917/ariha-1	/places/687917/ariha
Castell Menapior	/places/108865/castellum-menapiorum
Abant	/places/540583/abantes
Abann	/places/334468/abannae
Setuc	/places/109343/setuci
Lapurd	/places/246461/lapurdum
Brough by Bainbridg	/places/89317/brough-by-bainbridge
Gemestari	/places/236473/gemestarium
Illurgavonens	/places/246430/illurgavonenses
Sacr Pr.	/places/472125/Sacrum-Pr	/places/256410/Sacrum-Pr
Isid ins.	/places/40165/Isidos-ins
Kapharsab	/places/678223/kapharsaba
Vieux-Poitiers	/places/138656/vieux-poitiers
Lateri	/places/438768/laterium
Ze Andreas, Ampeleites, T.	/places/609575/Zeus-Andreas-Ampeleites-T
Phrygi II	/places/991394/phrygia-ii
Ad Lamin	/places/422955/ad-laminas
Vic Saturn	/places/311161/vicus-saturni
Ichthyophago	/places/29605/ichthyophagoi
Saldensio	/places/211460/saldensioi	/places/222173/saldensioi
Timezeger Turr	/places/344517/timezegeri-turris
Col. Claudi (Nerōnia) C. Pt.	/places/678010/Col-Claudia-Neronia-C-Pt
Kauphiak	/places/930199/kauphiaka
Coloni Iuli Pol Pollenti Herculane	/places/197448/colonia-iulia-pola-pollentia-herculanea
Salsovi	/places/226748/salsovia
